Generation types,AL00,AT00,BA00,BE00,BEOF,BG00,CH00,CY00,CZ00,DE00,DEKF,DKBH,DKE1,DKKF,DKNS,DKW1,DZ00,EE00,EEOF,EG00,ES00,FI00,FR00,FR15,GE00,GR00,GR03,HR00,HU00,IE00,IL00,ITA0,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LTOF,LUB1,LUF1,LUG1,LUV1,LV00,LY00,MA00,MD00,ME00,MK00,MT00,NL00,NL60,NL6H,NLA0,NLBH,NLLL,NOM1,NON1,NOS0,PL00,PS00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TN00,TR00,UA00,UK00,UKNI
Gas Conventional old 2,0.0,0.0,0.0,807.0,0.0,0.0,0.0,97.58000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16663.5,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,1170.0,0,0.0,0.0,22.917,3156.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,4550.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.343,0.0,0.0,0.0,201.5151984,0.0
Gas CCGT old 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.662,0.0,1650.0,0.0,0.0,0.0
Gas CCGT old 2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0,10.385,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,406.9565217391304,3960.0,0,0.0,149.0,364.8,1792.0,0.0,0.0,144.474,0.0,0.0,0,0,0.0,0,0.0,1485.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,4400.0,0.0,0.0,539.0
Gas CCGT new,200.0,0.0,385.0,3390.0,0.0,1064.0,0.0,425.7,2161.5,9.0,0.0,0.0,0.0,0.0,0,0.0,13800.0,250.0,0,24900.0,0.0,0.0,0.0,0.0,0.0,4286.0,0.0,230.0,1786.0,2238.2,4140.0,0,3274.0,0.0,1140.0,11870.5,3992.0,0.0,766.0,0.0,0.0,0,0,0.0,0,0.0,1570.0,450.0,0.0,0.0,699.5,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6222.83435207228,200.0,0.0,5531.1,182.9,0.0,0.0,0.0,0.0,170.0,522.456,1350.0,30210.0,0.0,0.0,1030.0
Gas CCGT CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3384.0,0.0
Gas OCGT old,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.984,0.0,0,380.9309999999999,2080.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0,222.919,16.0,783.8,0.0,247.307,0.0,362.0,0.0,0.0,0,0,0.0,0,0.0,0.0,615.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,482.0,0.0,1200.0,0.0,0.0,1231.0,12.0
Gas OCGT new,0.0,0.0,0.0,244.0,0.0,20.0,0.0,0.0,131.1,0.0,0.0,0.0,86.4,0.0,0,34.4,4200.0,0.0,0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,4200.0,0,0.0,126.0,1059.0,1057.0,164.0,0.0,281.66,0.0,0.0,0,0,0.0,0,0.0,4849.0,0.0,33.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,166.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,8000.0,0.0,0.0,0.0
Light oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0.0,0,151.8,0.0,0.0,0,574.4,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0
Heavy oil old 1,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,180.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.6616257,0.0
Heavy oil old 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,350.0,495.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0.0
