Generation types,AL00,AT00,BA00,BE00,BEOF,BG00,CH00,CY00,CZ00,DE00,DEKF,DKBH,DKE1,DKKF,DKNS,DKW1,DZ00,EE00,EEOF,EG00,ES00,FI00,FR00,FR15,GE00,GR00,GR03,HR00,HU00,IE00,IL00,ITA0,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LTOF,LUB1,LUF1,LUG1,LUV1,LV00,LY00,MA00,MD00,ME00,MK00,MT00,NL00,NL60,NL6H,NLA0,NLBH,NLLL,NOM1,NON1,NOS0,PL00,PS00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TN00,TR00,UA00,UK00,UKNI
Gas OCGT old,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0433,0.0,0,0.128857222223,0.0,0,0.480189223079999,2.08,0.0,0,0.0,0.0,0.038,0.199,0.0,0.0,0.147762,0.0,0.0,0.154,0.0,0.0,0,0.222919,0.016,0.7837999999999999,0.0,0.247307,0.0,0.362,0.0,0,0,0,0.0,0,0.0,0.0,0.615,0.0,0.0,0.0,0.0,0.165,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.054,0.0,0.482,0.0,1.2,0.0,0.0,2.44489,0.012
Gas OCGT new,0.0,0.0512,0.0,0.244,0.0,0.02,0.0,0.0,0.1311,2.355805999999999,0.0,0,0.1007419999999999,0.0,0,0.16723336,4.2,0.0,0,0.0,0.0,0.087,0.437,0.0,0.0,0.0,0.0,0.0,0.114,0.116,4.2,0,0.0,0.126,1.059,1.057,0.164,0.0,0.28166,0.0,0,0,0,0.0,0,0.0,3.74,0.0,0.033,0.0,0.0,0.0,0.314,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
Light oil,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,1.58533,0.0,0,0.531,0.0,0,0.1658,0.0,0.0,0,0.5744,0.0,0.0,0.971,0.284,0.0,0.0,0.31,0.0,0.495,0.188,0.0,0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389
Heavy oil old 1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06509999999999999,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13327799999999998,0.0,0.0,0.0,0.2046616257,0.0
Heavy oil old 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.35,0.495,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708,0.0
Oil shale old,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil shale new,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas CCGT present 1,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.834,1.658588,0.0,0,0.0,0.0,0,0.0,6.38,0.0,0,0.0,20.51756,0.234,0.792,0.0,0.73,0.7777999999999999,0.0,0.202,0.828,0.803,0.0,0,0.0,0.7861,1.275,5.4685,0.0,0.0,0.756,0.0,0,0,0,0.0,0,0.073,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455639999999999,0.0,5.44,0.0,21.988454669,0.0
Gas CCGT present 2,0.0,1.7515999999999998,0.0,1.7321,0.0,0.097,0.0,0.0,0.0551,18.45287492283951,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,6.7837,0.0,0.0,5.347,0.0,0.0,2.4493,0.0,0.498,0.0,2.098,3.44,0,0.0,0.0,2.4663000000000004,3.938,0.0,0.0,0.44562999999999997,0.403,0,0,0,0.0,0,0.0,0.0,0.83,0.0,0.0,0.0,0.15,7.083,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.6,0.0,0.0,0.408
Other non-RES,0.0,0.4642439100159042,0.0,0.7492935631117857,0.0,0.0,0.1789319862874353,0.0,0.3268104604400589,5.541311916030374,0.0,0,0.0,0.0,0,0.0,0.0,0.02294183999999995,0,0.0,2.1615950808648776,0.095,0.9726290410958897,0.0,0.0,0.0,0.0,0.039999999999999994,0.4617573141232437,0.138,0.3234703196347032,0,0.01664430352105741,0.481596187154364,0.10610406902257685,0.1365,0.13874511395123787,0.013482076373410803,0.3187405484962158,0.10688999999999951,0,0,0,0.0175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.864467572738963,0,0,0,0,0,0.02,0.195,0.05,0.2677885395035486,0.0,0.25479452054794505,0.0,0.0,0.0,0.0,0.0,0.0,0.21700089427906236,0.0014220874257990874,0.0,1.0092913242009132,1.5707762557077696,2.850612406000024,0.008766493150684932
Battery,0.0,0.06775756044512972,0.0,0.5943584,0.0,1.6,1.2212835714285708,0.0,0.6373,3.2004,0.0,0,0.0,0.0,0,0.16,0.0,0.0,0,0.0,2.5,1.0,0.47000000000000053,0.0,0.0,5.3,0.3,0.06999999999999998,0.38016,2.25,0.0,0,0.783,0.38,1.6601,3.056,4.4255,1.837,2.767,1.2,0,0,0,0.025,0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,9.331,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.01154267317148959,0.01112954061762934,0.1617230744844682,0.07053963148265073,0.6068,0.266,0.0,0.0,0.0,15.065541999999999,0.441
Onshore Wind,0.28,9.000001001157782,0.7866000000000001,5.248,0.0,0.948,0.31,0.1975,0.9582999999999999,115.0007,0.0,0,1.1553842,0.0,0,6.1502278,0.0,0.861,0,10.0,55.61749399999999,25.99247115334134,31.29999967555258,0.0287999992370606,1.3,6.300000000000003,0.8,1.44195,0.33429,8.9528,0.5,0,1.80281977,0.424,3.112,0.282,7.978,1.86,2.952,5.00002,0,0,0,0.453,0,0.237,0.2,4.847,0.31,0.2542,0.41,0.0,9.100049569941149,0,0,0,0,0,2.424575,1.10809,2.24056,13.76784,0.02,10.404,6.000000000000002,6.49215,3.580543000800567,8.280447657700313,3.868223270866214,2.222938509229397,0.1224434554334554,0.715,1.157,19.0,2.5,29.73317520883999,2.466
Offshore Wind,0.0,0.0,0.0,4.36,1.4,0.0,0.0,0.0,0.0,30.185,0.3363,3,1.9234,0.6048,0,2.722399999999999,0.0,0.0,0,0.0,2.8,1.0,3.875,0.0,0.0,2.7,0.0,0.51,0.0,5.0252,0.0,0,0.0,0.4000000000000001,0.9,0.6,3.8,1.4,1.4,1.4,0,0,0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.5425,0,0,0,0,2,0.0,0.0,3.0035,10.004,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,51.96746998,0.5
Solar PV,0.6,5.384346666666668,0.4548,0.0,0.0,2.837237,0.0,0.442,7.6418,97.002,0.0,0,4.517686010850741,0.0,0,11.89268398914926,4.266,1.16,0,10.0,59.54812700000002,7.011036845315112,42.28219,0.34,0.52,13.363001,0.5,0.7201799999999999,6.810173160000033,5.5,10.0,0,1.1,2.8,11.1,10.0,14.514,5.6,7.899999999999999,5.0003,0,0,0,0.61,0,0.13603,2.0,2.511,0.25,0.0315,0.43,0.046,19.59812352941177,0,0,0,0,0,0.0,0.0,0.0,21.66341000000001,0.35,14.912,7.269999999999998,4.301,0.0,0.0,0.0,0.0,0.0,1.5,1.431,17.5,2.5,19.99320899,0.44
Reservoir,2.031743999999999,2.787128999999999,1.906,0.0,0.0,1.2812999999999999,8.53,0.0,0.5175400000000001,0.819,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11.414189999999989,3.2366080000000013,9.84700000000001,0.182,2.864,2.7437,0.0,1.948089999999999,0.0,0.0,0.0,0,0.7012840000000001,0.38927,0.9874570000000001,6.344974,0.17827,0.15339750000000002,0.04234,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0584,0.7286,0.0,0.0,0,0,0,0,0,3.206463902370827,4.75408104372989,19.68939833979466,0.4274799999999999,0.0,3.7655,2.561854,0.43427,5.444,7.6501,2.286,0.2371,0.0214,0.02128,0.0,26.4,4.65,0.0,0.0
Run-of-River,0.6036719999999999,5.228625759999998,0.040799999999999996,0.1482020000000001,0.0,0.53551,4.215,0.0,0.43163,3.9339,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,2.832,3.4246656163002758,0.0,13.6,0.014,2.731,0.3609799999999999,0.0,0.06314,0.064203,0.215,0.0,0,0.125385,0.29362,0.69677254,5.710563100000001,0.05003,0.081905,0.091925,0.1262,0,0,0,0.042,0,0.0,0.0,0.0,0.0,0.078853,0.2305000011,0.0,0.037,0,0,0,0,0,1.183984471902648,0.7269109549745923,5.557048791992192,0.36731,0.0,0.505,3.366474,2.1318200000000003,0.0,0.0,0.0,0.0,0.128365916185163,1.4253015,0.0,9.1,0.275,2.2194711414449997,0.0
Other RES,0.0,0.7606445554814278,0.0,0.614625,0.0,0.302,0.4258891116437436,0.0121,0.6548,13.067585999999999,0.0,0,0.0,0.0,0,0.00726,0.0,0.16765,0,0.0,1.7300001999999999,2.62482,2.390000000000002,0.036,0.0,0.430997,0.0,0.198,0.2232437,0.07,0.0,0,0.16536,1.04886,0.5021100000000001,2.14039,0.4133,0.09395,0.08506,0.20989,0,0,0,0.12129999999999999,0,0.1590179090909091,0.0,0.0,0.03,0.049,0.031,0.0,0.415,0,0,0,0,0,0.0,0.0,0.0,2.1550537218483568,0.0,1.617,0.137,0.13099,0.1987,0.74357,2.8180549999999998,0.6980899999999999,0.061203316388283704,0.40114931528046416,0.0,3.9,0.5,2.82916595337,0.077
